airport_ident,type,description,frequency_mhz
7CO0,MISC,MISC,122.9
7FL6,CLD,DAYTONA,121.725
7FL6,UNIC,UNICOM,122.975
7IN8,CTAF,,122.9
7NC2,MULT,MULT,122.9
7PA3,INFO,ACTIVATE LIRL,129.9
7S3,CTAF,Twin Oaks Traffic,123.05
7TE2,CNTR,HOUSTON CNTR,126.625
7TE6,CNTR,HOUSTON CNTR,126.625
7TE7,CNTR,HOUSTON CNTR,126.625
7TE7,UNIC,UNICOM,122.8
7TN5,UNICOM,,122.75
7TX0,CNTR,FORT WORTH CNTR,127.45
82IS,UNIC,UNICOM,122.9
83TX,CNTR,HOUSTON CNTR,126.625
85TX,CNTR,HOUSTON CNTR,126.625
87MO,CTAF,CTAF,122.9
89NY,UNIC,CTAF/UNICOM,122.8
89TS,CNTR,HOUSTON CNTR,126.625
8CA8,CTAF,CTAF,122.9
8TA0,CNTR,HOUSTON CNTR,126.625
8TS9,CNTR,HOUSTON CNTR,126.625
8XS8,CNTR,FORT WORTH CNTR,127.45
91TS,CNTR,HOUSTON CNTR,126.625
91TX,CNTR,HOUSTON CNTR,126.625
92CA,CTAF,CTAF,122.9
92XS,CNTR,HOUSTON CNTR,126.625
94TX,CNTR,FORT WORTH CNTR,127.45
95TX,CNTR,HOUSTON CNTR,126.625
97FL,CTAF,Loves Landing,122.9
98OH,CTAF,,122.9
99CL,CTAF,CTAF,122.9
9CA7,CTAF,CTAF,122.9
9CL2,CTAF,CTAF,122.9
9NC0,UNIC,CTAF/UNICOM,122.8
9OH7,CTAF,,122.9
9OI5,UNIC,UNICOM,122.8
9SD9,UNIC,UNICOM,122.8
9TE2,UNICOM,,123.07
9TX5,MISC,BULLIS RNG CON,34.2
AF-0020,ACC,Khabul Centre,118.3
AF-0020,ACC,Khabul Centre,120.9
AF-0020,ATF,,125.2
AGGH,AFIS,INFO,118.1
AGGH,INFO,INFO,342.5
AGGM,AFIS,INFO,118.1
AGGM,RDO,RDO,118.1
AL-0013,TWR,TWR,129.5
AL12,MULT,MULTICOM,122.85
ANYN,A/G,Nauru Radio,118.1
ANYN,INFO,Nauru Radio,126.5
AQ-0013,TWR,ICE TWR,126.2
AQ-0013,CNTR,MCMURDO CNTR,118.2
AQ-0013,EMR,INTL DISTRESS,218.2
AQ-0014,CNTR,MCMURDO CNTR,118.2
AQ-0014,EMR,INTL DISTRESS,218.2
AR-0008,CTAF,,123.5
AR-0009,COM,Charata Traffic,123.5
AR-0035,COM,Allen Traffic,123.5
AR-0038,CTAF,"""Alvear""",123.5
AR-0079,AFIS,,123
AR-0137,COM,El Pájaro Traffic,123.2
AR-0158,NON CONTROLLED,Some aircrafts without radio operate here.,123.5
AR-0165,ATZ VEZ,,123.5
AR-0305,CTAF,,123.5
AR-0399,COM,Rodriguez Traffic,123.2
AR-0736,RDO,RDO,122.1
AR-0743,TWR,TWR,118.8
AR-0744,RDO,GORDILLO RDO,118.5
AR-0748,COM,San Justo Traffic,118.1
AU-0005,CTAF,Myrup Traffic,126.7
AU-0014,CTAF,Abrolhos traffic,127.1
AU-0018,CTAF,,126.7
AU-0038,CTAF,Abrolhos traffic,127.1
AU-0044,CTAF,,126.7
AU-0045,CTAF,,119.1
AU-0050,CTAF,,126.7
AU-0054,CTAF,CTAF,126.7
AU-0054,FIA,Melbourne Centre,122.4
AU-0060,CTAF,CTAF,118.6
AU-0060,MISC,MISC,113.7
AU-0060,MISC,MISC,119.6
AU-0060,MISC,MISC,122.1
AU-0220,CTAF,CTAF,119
AU-0220,MISC,MISC,126.8
AU-0221,CTAF,CTAF,119
AU-0221,MISC,MISC,126.8
AU-0225,CTAF,,126.7
AU-0251,CTAF,,121
AU-0324,MISC,,126.7
AU-0351,FIA,Brisbane Centre,119.55
AU-0428,CTAF,CTAF,126.7
AU-0428,MISC,MISC,119.5
AU-0429,CTAF,CTAF,127.1
AU-0429,MISC,MISC,120.2
AU-0429,MISC,MISC,135.5
AU-0430,CTAF,CTAF,120.7
AU-0430,MISC,MISC,122.4
AU-0430,MISC,MISC,122.6
AU-0627,MISC,,126.7
AU-0664,CTAF,CTAF,127
AU-0664,FSS,SYDNEY RADAR,124.55
AU-0665,CTAF,CTAF,126.7
AU-0665,MISC,MISC,120
AU-0666,CTAF,CTAF,122
AU-0666,MISC,MISC,132.1
AU-0671,CTAF,CTAF,124.95
AU-0671,MISC,MISC,126.8
AU-0672,CTAF,CTAF,121.2
AU-0672,MISC,MISC,122.8
AU-0672,MISC,MISC,126.8
AU-0673,CTAF,CTAF,121.2
AU-0673,MISC,MISC,119.6
AU-0673,MISC,MISC,126.5
AU-0677,CTAF,CTAF,126
AU-0677,MISC,MISC,125.7
AU-0678,CTAF,CTAF,120
AU-0678,MISC,MISC,121.3
AU-0678,MISC,MISC,124
AU-0679,CTAF,CTAF,126.7
AU-0679,MISC,MISC,135.7
AU-0680,CTAF,CTAF,126.7
AU-0680,ML CEN,ML CEN,126.8
AU-0681,CTAF,CTAF,122.4
AU-0681,MISC,MISC,122.2
AU-0681,MISC,MISC,123.9
AU-0685,CTAF,CTAF,124.1
AU-0685,MISC,MISC,125.7
AU-0686,CTAF,CTAF,126.7
AU-0686,MISC,MISC,120
AU-0686,MISC,MISC,125.1
AU-0687,CTAF,CTAF,122.1
AU-0687,MISC,MISC,119.6
AU-0688,CTAF,CTAF,126.7
AU-0688,MISC,MISC,126
AU-0689,CTAF,CTAF,124.1
AU-0689,MISC,MISC,124.8
AU-0690,CTAF,CTAF,119.1
AU-0691,CTAF,CTAF,126.5
AU-0691,MISC,MISC,125.8
AU-0692,CTAF,CTAF,120.7
AU-0692,MISC,MISC,122.6
AU-0693,CTAF,CTAF,124.8
AU-0693,MISC,MISC,119.6
AU-0693,MISC,MISC,122.4
AU-0703,CTAF,CTAF,122.1
AU-0703,MISC,MISC,122.4
AU-0703,MISC,MISC,123.9
AU-0783,CTAF,,118.3
AYBK,RDO,LAE RDO,127.1
AYDU,FSS,MORESBY CNTR,124.9
AYGA,TWR,TWR,118.7
AYGN,FSS,MORESBY CNTR,124.1
AYHK,FSS,NADZAB CNTR,127.1
AYKM,FSS,MORESBY,120.9
AYKV,FSS,LAE,127.1
AYMD,TWR,TWR,118.1
AYMD,ATIS,ATIS,127.8
AYMD,FSS,MADANG CNTR,120.1
AYMH,TWR,HAGEN TWR,120.5
AYMH,ATIS,ATIS,128.4
AYMO,AWOS,AWIS,129.35
AYMO,FSS,MADANG,120.1
AYNZ,TWR,TWR,121.7
AYNZ,APP,APP,118.6
AYNZ,ATIS,ATIS,128.6
AYNZ,RDO,LAE RDO,120.7
AYPY,GND,JACKSONS GND,121.7
AYPY,TWR,JACKSONS TWR,118.1
AYPY,APP,JACKSONS APP,125.8
AYPY,ATIS,ATIS,117
AYTK,TWR,TWR,118.2
AYTK,FSS,LAE RDO,127.1
AYTK,MISC,MTAF,120.9
AYVN,FSS,MADANG FIS,126.7
AYWK,CTAF,WEWAK TRAFFIC,121.7
AYWK,ATIS,ATIS,128.2
AYWK,FSS,MADANG CNTR,126.7
AZ82,AWOS,AWOS 3,122.9
AZ82,UNIC,UNICOM,122.9
BA-0001,CILJUGE INFO,Ciljuge Info,123.6
BA-0001,UC,UC,123.5
BGBW,AFIS,AFIS,119.1
BGCO,AFIS,AFIS,118.1
BGGH,AFIS,AFIS,119.1
BGNN,HIS,NANORTALIK HIS,118.1
BGNO,ATS,Station Nord,118.1
BGNO,ATS,Station Nord,267.3
BGNS,HIS,NARSAQ HIS,118.1
BGQQ,AFIS,Aerodrome Flight Information Service,118.1
BGSF,TWR,TWR,118.3
BGSF,A/D,APP/DEP,126.2
BGSF,RDO,RDO,121.3
BGSS,AFIS,SISIMIUT AFIS,118.1
BGTL,GND,GND,119.9
BGTL,TWR,TWR,126.2
BGTL,APP,APP,134.1
BGTL,A/G,EMERG CW FREQUENCY,836.4
BGTL,CLD,CLNC DEL,119.9
BGTL,OPS,BASE OPS,131.1
BGUK,AFIS,Upernavik AFIS,118.1
BIAR,TWR,TWR,118.2
BIAR,ACC,REYKJAVIK ACC,119.7
BIAR,RDR,RADAR,118.7
BIBD,ACC,REYKJAVIK ACC,119.7
BIBD,AFIS,INFO,119.1
BIEG,ACC,REYKJAVIK ACC,119.7
BIEG,AFIS,RDO,119.4
BIHN,ACC,REYKJAVIK CON,119.7
BIHN,AFIS,INFO,118.1
BIHU,ACC,REYKJAVIK ACC,119.7
BIHU,AFIS,INFO,118.1
BIIS,ACC,REYKJAVIK ACC,119.7
BIIS,AFIS,INFO,118.8
BIKF,GND,GND,121.9
BIKF,TWR,TWR,118.3
BIKF,APP,APP,119.3
BIKF,DEP,DEP,119.3
BIKF,ATIS,ATIS,128.3
BIKF,A/G,AIR GND,131.9
BIKF,OPS,BASE OPS,129
BIKF,PMSV,PMSV  METRO,125
BIMS,AFIS,Tungubakki,118.2
BIMS,TWR: BIRK,Reykjavik Tower,118
BIPA,ACC,REYKJAVIK ACC,119.7
BIPA,AFIS,RDO,119.1
BIRK,GND,GND,121.7
BIRK,TWR,TWR,118
BIRK,ATIS,ATIS,128.1
BIRK,A/D,APP/DEP,119
BIRK,RDO,RDO,126.55
BISA,TRFC,Trafic,118.1
BISI,ACC,REYKJAVIK ACC,119.7
BISI,RDO,RDO,118.1
BISS,TRFC,Traffic,119.9
BITN,ACC,REYKJAVIK ACC,119.7
BITN,AFIS,INFO,118.1
BIVM,TWR,TWR,118.5
BIVM,DEP,REYKJAVIK DEP,119
BIVM,ACC,REYKJAVIK ACC,119.7
BKPR,GND,GND,118
BKPR,TWR,TWR,120.125
BKPR,APP,APP,118.775
BKPR,RMP,RAMP OPR,136.8
BR-1655,CTAF,Primeira Cruz Traffic,110.3
BR-1941,AFIS,PRIMAVERA RDO,130.3
BR-1959,AFIS,RDO,130.3
BR-1960,TWR,TWR,118.3
BR-1961,AFIS,RDO,130.3
BR-1962,AFIS,PUNGA RDO,125.9
BS-0018,AWOS,AWOS,134.775
BS-0018,RDO,NASSAU RDO,124.2
BS-0018,UNIC,UNICOM,122.8
BY-9935,TWR,START,128
BY-9935,PMSV,METEO,118.4
CA-0084,CTAF,Camp de base Casey,123.2
CA-0088,UNIC,Traffic,123.2
CA-0118,TFC,,123.2
CA-0159,ATF,"Pontiac Traffic, 5nm below 3300 ASL",123.2
CA-0159,VFR ADVISORY,Ottawa Terminal,127.7
CA-0304,MF,,123.2
CA-0307,CTAF,Hawkefield Traffic,123.2
CA-0380,CTAF,Great Lakes,123.2
CA-0393,CTAF,Upper Kent Traffic,122.8
CA-0430,CTAF,,123.2
CA-0444,ATF,,122.8
CA-0454,CTAF,,122.8
CA-0456,CTAF,,123.4
CA-0457,RDO,MADELEINE RDO,123.15
CA-0463,CTAF,,123.2
CA-0464,CTAF,,123.2
CA-0497,CTAF,,122.8
CA-0506,ATF,Newburgh Traffic,123.2
CA-0508,CTAF,,123
CA-0516,ATF,"traffic, 5NM 3800 ASL",123.2
CA-0517,ATF,Hastings Traffic,123.2
CA-0523,CPR1,,123.4
CA-0524,CTAF,,123
CA-0526,UNICOM,,122.9
CA-0534,GROUND,Sol Lac William,122.9
CA-0534,CTAF,Lac William,123.2
CA-0684,UNICOM/ATF,Brechin Traffic,122.95
CA-0750,UNIC,Indian Creek,123.2
CA-0772,ATF,"Shuswap Traffic, 5nm below 4200ASL",123.2
CA-0903,ATF,,123.2
CA-1018,UNIC,ATF/UNICOM,123.35
CA-1019,ATF,CATF,123.2
CA-1029,ATF,ATF,123.2
CA-1037,CTAF,Hamburg UNICOM,130.275
CA-1043,UNIC,ATF/UNICOM,122.8
CA-1070,UNICOM,,122.8
CA-1070,ATF,Winchester Traffic,122.8
CA-1071,A/G,Ambulance Dispatch,129.275
CA-1071,ATF,,123
CA-1076,ATF,Morrisburg Traffic,123.2
CA-1077,CTAF,Picton Traffic,123.2
CA-1079,ATF,,123.3
CA-1084,ATF,ATF,123.2
CA-1088,CTAF,,123.2
CA-1095,RDO,MF,122.35
CA-1101,UNICOM,,123.5
CA-1101,ATF,,123.5
CA-1108,GND,Buttonville Ground,121.8
CA-1108,TWR,Buttonville Tower. (Backup: 119.9),124.8
CA-1108,DEP,Toronto Terminal Departures,133.4
CA-1108,ATIS,ATIS,127.1
CA-1108,ARR,Toronto Terminal Arrivals,133.4
CA-1108,MF,Buttonville Traffic: when tower closed,124.8
CA-1108,RCO,London Radio,123.15
CA-1109,A/G,MF,122.1
CA-1109,RDO,RDO,122.1
CA-1110,GND,GND,121.9
CA-1110,TWR,TWR,119.1
CA-1110,AWOS,AWOS,128.625
CA-1110,ATIS,ATIS,114.9
CA-1110,A/D,ARR/DEP,119.5
CA-1110,A/G,MF RED DEER RDO,119.1
CA-1110,AAS,VFR ADVSY,118.8
CA-1110,CLD,CLNC DEL,121.3
CA-1110,INFO,AIR AMBULANCE,122.45
CA-1110,RCO,RED DEER RDO,119.1
CA-1151,CTAF,,123.2
CA-1153,CTAF,,123.2
CA-1155,CTAF,Canton Traffic,123.2
CA-1240,ATF,Dominion Airpark Traffic,122.8
CA20,CTAF,CTAF,122.9
CA42,CTAF,CTAF,122.9
CA60,CTAF,CTAF,122.9
CA62,AAS,ROBERTS ADVSY SVC,41.5
CA62,MISC,RANGE CON/MEDEVAC,38.9
CA73,CTAF,CTAF,122.9
CA92,UNIC,CTAF/UNICOM,122.8
CAA2,UNICOM,,122.75
CAA8,ATF,ATF,123.2
CAA8,RCO,PACIFIC RDO,126.7
CAD4,ATF,ATF,123.2
CAD5,ATF,ATF,123.2
CAH3,ATF,,123.35
CAH4,ATF,ATF,123.2
CAJ2,ATF,Wiley Traffic,123.2
CAJ3,UNIC,ATF/UNICOM,122.8
CAJ4,ATF,ATF,122.8
CAJ7,ATF,ATF,123
CAK3,TWR,"Boundary Bay Tower, above 1000ft",118.1
CAK3,ATIS,"Boundary Bay, 1-877-517-2847",125.5
CAK3,ATF,"Delta HeritageTraffic, 2nm below 1000ASL",123.3
CAL3,ATF,ATF,123.2
CAM3,ATF,,122.8
CAM4,CTAF,,122.8
CAM4,CTAF,,122.8
CAM5,ATF,ATF,123.2
CAQ5,ATF,ATF,123.2
CAR4,ATF,Cameron Traffic,123.2
CAR5,CTAF,,123.4
CAT4,ATF,ATF,122.8
CAT4,CNTR,COMOX CNTR,123.7
CAU3,RCO,PACIFIC RDO,126.7
CAU3,UNIC,ATF/UNICOM,122.8
CAU4,ATF,ATF,122.8
CAV6,ATF,Beausejour traffic,123.2
CAY5,ATF,"Sargeant Traffic, 5NM below 4000ASL",123.2
CAZ5,ATF,ATF,123.2
CBB9,ATF,Osoyoos Traffic,123.2
CBBC,ATF,"Bella BellaTraffic,  5nm below 3200 ASL",122.8
CBBC,FSS,Wag Fuel,131.05
CBBC,RCO,"Pacific Radio, (FISE)",123.475
CBBC,RCO,"Pacific Radio, bcst",126.7
CBF2,CTAF,,123.4
CBG8,TWR,Prince George Tower,118.3
CBJ4,ATF,ATF,123.2
CBM4,ATF,Collingwood Traffic,122.85
CBN7,ATF,,122.8
CBQ8,ATF,ATF,123.2
CBR2,ATF,ATF,123.2
CBS8,ATF,ATF,123
CBU2,CTAF,,123.2
CBX7,ATF,ATF,123.2
CBZ9,ATF,ATF,122.8
CCA3,CTAF,"Cable Head Traffic, 5nm below 3100",123.2
CCA3,DEPARTURES,Moncton Centre,135.65
CCC2,ATF,ATF,123.2
CCE3,ATF,ATF,123.2
CCE6,ATF,Camden East Traffic,123.2
CCF4,CTAF,,123.2
CCG3,ATF,Weyman Traffic,123.2
CCG4,GND,GND,121.8
CCG4,UNIC,ATF/UNICOM,122.8
CCK5,CTAF,,123
CCN2,ATF,ATF,123.2
CCN4,ATF,"Conn Traffic, 5NM below 4700ASL",123.4
CCP2,A/D,GANDER CNTR,132.1
CCP2,ATF,ATF,123.2
CCQ3,A/D,HALIFAX TRML,119.2
CCQ3,UNIC,ATF/UNICOM,123
CCR3,ATF,ATF,122.8
CCS3,UNIC,ATF/UNICOM,122.8
CCS4,ATF,ATF,123.2
CCT2,CTAF,COOKSTOWN TRAFFIC,123.5
CCW3,TWR,GREENWOOD TWR,119.5
CCW3,A/D,GREENWOOD TRML,120.6
CCW3,UNIC,ATF/UNICOM,122.8
CCW4,UNIC,ATF/UNICOM,122.8
CCZ3,A/D,GANDER CNTR,132.1
CCZ3,ATF,ATF,123.2
CD-0042,TWR,TWR,118.1
CD-0042,A/G,A/G VOICE RDO,1330.4
CDA4,RCO,CHARLO RDO,123.45
CDA4,UNIC,ATF/UNICOM,123
CDA5,ATF,ATF,123.2
CDJ4,ATF,ATF,123.2
CDL8,UNICOM,,122.8
CDT5,ATF,ATF,123.2
CDU6,ATF,ATF,123.2
CDV2,ATF,ATF,123.5
CDY3,ATF,ATF,123.2
CDY3,CNTR,GANDER CNTR,132.1
CDY6,CTAF,,123.2
CEA3,ATIS,ATIS,122.7
CEA3,ATF,ATF,123.2
CEA5,ATF,ATF,123.2
CEA6,ATF,ATF,123.2
CEB5,UNIC,ATF/UNICOM,122.8
CEC4,ATF,ATF,123.2
CEC4,RCO,EDMONTON RDO,123.55
CED3,UNIC,ATF/UNICOM,122.8
CED5,UNIC,ATF/UNICOM,122.8
CED8,ATF,"Eldorado Unicom, Ltd hrs, 3NM below 3000ASL",123
CEE5,ATF,ATF,123.2
CEF2,CTAF,,123.4
CEF3,ATF,ATF,123.2
CEF4,UNIC,CTAF UNIC,122.9
CEG3,UNIC,ATF/UNICOM,122.8
CEG4,ATF,ATF/UNICOM,122.8
CEH2,ATF,,123.4
CEH3,UNIC,ATF/UNICOM,123.3
CEH4,ATF,ATF,122.8
CEH5,ATF,ATF,123.2
CEH6,A/D,EDMONTON CNTR,133.45
CEH6,RDO,EDMONTON RDO,126.7
CEH6,UNIC,ATF/UNICOM,122.8
CEJ3,UNIC,ATF/UNICOM,123
CEJ4,UNIC,ATF/UNICOM,123
CEJ6,ATF,ATF,123.2
CEK6,ATF,Killam/Sedgewick Traffic,123.2
CEL3,CTAF,,123
CEL4,ATF,ATF,123.2
CEL5,ATF,ATF,123.2
CEM4,UNIC,ATF,123
CEM5,ATF,ATF,123.2
CEN3,ATF,ATF,123.2
CEN4,ATF,ATF,123
CEN5,TWR,TWR,126.2
CEN5,ATF,ATF,122.8
CEP3,ATF,ATF,123.2
CEQ3,ATF,ATF,122.8
CEQ4,ATF,,122.8
CER2,ATF,ATF,123.2
CER3,ATF,ATF/UNICOM,122.8
CER4,CTAF,Mildred Lake Traffic,123.2
CES2,CTAF,,123.2
CES3,ATF,St. Albert Traffic,123.2
CES4,UNIC,ATF/UNICOM,122.8
CET4,MF,Fort Simpson Airport Radio,122.2
CET4,RCO,Arctic Radio,126.7
CET9,ATF,ATF,123.2
CEU2,ATF,ATF,123.2
CEV3,UNIC,ATF/UNICOM,122.8
CEV7,ATF,ATF,123.2
CEW3,UNIC,ATF/UNICOM,122.8
CEW9,ATF,,123.3
CEX3,UNIC,ATF/UNICOM,123.5
CEY3,ATF,ATF,123.2
CEZ3,ATF,,123.2
CEZ4,ATF,ATF,123.2
CFB6,AWOS,780-862-7450,122.35
CFB6,ATF,ATF,123.5
CFC6,ATF,"Rockyford Traffic, 5nm below 5900ASL",123.2
CFD4,ATF,ATF,123.2
CFD5,MF,Peace River Radio,122
CFF7,MIL,Range Control,49.9
CFG3,ATF,ATF,123.2
CFG6,ARR/DEP,Edmonton Control,135.5
CFG6,ATF,"Firebag Traffic, irregular below 3500ASL",123.5
CFG6,CLNC DEL,Edmonton Control,134.025
CFG6,RCO,Edmonton Radio (FISE),123.55
CFH4,ATF,UNICOM/CTAF,122.2
CFL2,UNIC,ATF/UNICOM,122.9
CFN5,ATF,,123.2
CFN7,ATF,ATF,123.2
CFP7,MIL,Range Control,49.9
CFQ4,ATF,,123.2
CFS5,ATF,ATF,123.2
CFS6,ATF,ATF,123.2
CFT8,UNIC,ATF/UNICOM,122.8
CFU9,CTAF,,123.2
CFW2,ATF,Gordon Lake Traffic,123.2
CFX2,UNIC,ATF,122.8
CFX4,ATF,ATF,123.2
CFX8,ATF,,123.4
CFY4,ATF,,123.2
CGL2,CTAF,,122.9
CGR2,CTAF,,123.2
CGV6,CTAF,,123.2
CHD4,ATF,"Thamesford Traffic, 3NM below 4100ASL",123.2
CHF2,ATF,,123.2
CJA3,UNIC,ATF/UNICOM,123
CJB3,ATF,ATF,122.7
CJB8,ATF,ATF,123.2
CJC5,UNIC,ATF,122.8
CJD5,ATF,ATF,123.2
CJE3,UNIC,ATF/UNICOM,122.8
CJF3,ATF,,123.2
CJJ4,ATF,ATF,122.8
CJJ8,ATF,ATF,123.2
CJK4,ATF,ATF,122.8
CJL6,ATF,ATF,123.2
CJM5,ATF,ATF,123.2
CJQ3,ATF,ATF,122.8
CJQ3,RCO,EDMONTON RDO,123.55
CJQ4,UNIC,ATF/UNICOM,122.8
CJQ6,A/G,AIR GND,444.1
CJQ6,ATF,"Tanquary Traffic, 5nm below 3100ASL",123.2
CJR2,ATF,ATF,123.2
CJR4,ATF,ATF,123.2
CJV4,ATF,"Otter Lake Unicom/Traffic, 5nm below 4300ASL",122.8
CJV5,ATF,ATF,122.8
CJW5,ATF,ATF/UNICOM,122.8
CJW5,RDO,EDMONTON,122.2
CJX5,ATF,ATF,123.2
CJY3,ATF,ATF,122.8
CJZ3,ATF,ATF,122.8
CJZ3,UNIC,UNICOM,122.8
CKB7,ATF,ATF,123.2
